# Tadawul Main Market operating companies (codes 1xxx-8xxx).
# Source: stockanalysis.com/list/saudi-stock-exchange, retrieved 2026-09-22.
# Excluded: Nomu parallel market (9xxx, different price limits) and REIT funds (4330-4349).
# Survivorship: this is today's list; delisted companies are not included.
ticker,name_en
2222.SR,Saudi Arabian Oil Company
1120.SR,Al Rajhi Banking and Investment Corporation
1211.SR,Saudi Arabian Mining Company (Maaden)
1180.SR,The Saudi National Bank
7010.SR,Saudi Telecom Company
2010.SR,Saudi Basic Industries Corporation
2082.SR,ACWA Power Company
1010.SR,Riyad Bank
4013.SR,Dr. Sulaiman Al Habib Medical Services Group Company
1150.SR,Alinma Bank
1060.SR,Saudi Awwal Bank
5110.SR,Saudi Energy Company
2020.SR,SABIC Agri-Nutrients Company
1050.SR,Banque Saudi Fransi
7020.SR,Etihad Etisalat Company
4280.SR,Kingdom Holding Company
7203.SR,Elm Company
2280.SR,Almarai Company
1080.SR,Arab National Bank
2380.SR,Rabigh Refining and Petrochemical Company
1140.SR,Bank Albilad
4030.SR,The National Shipping Company of Saudi Arabia
7202.SR,Arabian Internet and Communication Services Company
4325.SR,Umm Al Qura for Development and Construction Company
8210.SR,Bupa Arabia for Cooperative Insurance Company
2223.SR,Saudi Aramco Base Oil Company - Luberef
6015.SR,Americana Restaurants International PLC
8010.SR,The Company for Cooperative Insurance
4300.SR,Dar Al Arkan Real Estate Development Company
4250.SR,Jabal Omar Development Company
4190.SR,Jarir Marketing Company
2382.SR,ADES Holding Company
1030.SR,The Saudi Investment Bank
2290.SR,Yanbu National Petrochemical Company
1303.SR,Electrical Industries Company
4142.SR,Riyadh Cables Group Company
4100.SR,Makkah Construction and Development Company
1020.SR,aljazira bank
1111.SR,Saudi Tadawul Group Holding Company
4263.SR,SAL Saudi Logistics Services Company
4002.SR,Mouwasat Medical Services Company
4200.SR,Aldrees Petroleum and Transport Services Company
4164.SR,Nahdi Medical Company
8313.SR,Rasan Information Technology Company
